"","pa","daily_sample_size_ofensive","freq_daily_sample_size_ofensive","acc_ofensive"
"1",0.01,30100,192237,0.9041
"2",0.011,26600,166543,0.9002
"3",0.012,24950,146090,0.9023
"4",0.013,23150,129495,0.8995
"5",0.014,21600,115812,0.8996
"6",0.015,20500,104372,0.9006
"7",0.016,18550,94693,0.9041
"8",0.017,18100,86417,0.8993
"9",0.018,16600,79276,0.9007
"10",0.019,16150,73063,0.9006
"11",0.02,15200,67617,0.8993
"12",0.021,14000,62813,0.8997
"13",0.022,14000,58549,0.9002
"14",0.023,13050,54744,0.8991
"15",0.024,12200,51331,0.8993
"16",0.025,12150,48258,0.9012
"17",0.026,11650,45477,0.9008
"18",0.027,11200,42951,0.9014
"19",0.028,10550,40650,0.8998
"20",0.029,10000,38545,0.9007
"21",0.03,10300,36615,0.9008
"22",0.031,10000,34840,0.8991
"23",0.032,9400,33202,0.8992
"24",0.033,9450,31688,0.9028
"25",0.034,8550,30284,0.8994
"26",0.035,8550,28980,0.8999
"27",0.036,8550,27767,0.9009
"28",0.037,8000,26635,0.9022
"29",0.038,8250,25577,0.9025
"30",0.039,7550,24586,0.8992
"31",0.04,7600,23658,0.9053
"32",0.041,7600,22785,0.8993
"33",0.042,7000,21965,0.9051
"34",0.043,7100,21192,0.9008
"35",0.044,6850,20463,0.9004
"36",0.045,6600,19774,0.8998
"37",0.046,6500,19122,0.9001
"38",0.047,6550,18506,0.9004
"39",0.048,6250,17921,0.9015
"40",0.049,6100,17366,0.901
"41",0.05,5900,16838,0.8993
"42",0.051,5700,16337,0.9058
"43",0.052,5800,15859,0.9009
"44",0.053,5650,15404,0.9021
"45",0.054,5650,14970,0.9004
"46",0.055,5500,14556,0.9078
"47",0.056,5500,14160,0.9001
"48",0.057,5050,13782,0.902
"49",0.058,5050,13420,0.9014
"50",0.059,5150,13073,0.9048
"51",0.06,4900,12741,0.9054
"52",0.061,5050,12422,0.9008
"53",0.062,4700,12116,0.8994
"54",0.063,4750,11822,0.9019
"55",0.064,4550,11540,0.9014
"56",0.065,4550,11269,0.906
"57",0.066,4400,11008,0.9016
"58",0.067,4250,10756,0.9008
"59",0.068,4250,10514,0.9009
"60",0.069,4350,10281,0.8997
