"","pa","daily_sample_size_ofensive","freq_daily_sample_size_ofensive","acc_ofensive"
"1",0.01,36100,288356,0.8997
"2",0.011,33850,249814,0.8991
"3",0.012,30700,219135,0.8995
"4",0.013,27200,194243,0.9004
"5",0.014,25750,173718,0.9008
"6",0.015,23850,156558,0.9009
"7",0.016,22850,142040,0.9009
"8",0.017,21900,129626,0.9069
"9",0.018,20000,118914,0.9008
"10",0.019,19000,109594,0.8993
"11",0.02,18000,101425,0.8997
"12",0.021,17350,94219,0.8997
"13",0.022,16150,87823,0.9009
"14",0.023,15350,82115,0.9003
"15",0.024,15400,76997,0.9016
"16",0.025,14650,72386,0.9083
"17",0.026,13900,68215,0.8992
"18",0.027,13500,64427,0.9005
"19",0.028,12750,60975,0.9008
"20",0.029,12300,57818,0.9018
"21",0.03,12000,54922,0.9004
"22",0.031,11500,52259,0.9075
"23",0.032,11000,49803,0.9025
"24",0.033,10850,47531,0.9026
"25",0.034,10300,45426,0.9009
"26",0.035,10300,43470,0.9004
"27",0.036,9900,41650,0.8998
"28",0.037,9900,39952,0.9003
"29",0.038,9100,38365,0.9006
"30",0.039,9000,36879,0.9002
"31",0.04,8650,35486,0.9017
"32",0.041,8400,34178,0.9002
"33",0.042,8400,32947,0.9007
"34",0.043,8400,31787,0.8992
"35",0.044,7950,30694,0.9052
"36",0.045,7850,29661,0.8998
"37",0.046,7550,28683,0.8997
"38",0.047,7300,27758,0.8994
"39",0.048,7300,26881,0.9029
"40",0.049,7050,26048,0.8993
"41",0.05,7100,25257,0.9085
"42",0.051,6700,24505,0.8991
"43",0.052,6600,23789,0.9
"44",0.053,6400,23106,0.8993
"45",0.054,6500,22455,0.8999
"46",0.055,6500,21834,0.8996
"47",0.056,6300,21240,0.9007
"48",0.057,5950,20673,0.9001
"49",0.058,5900,20130,0.9006
"50",0.059,5900,19609,0.9024
"51",0.06,5900,19111,0.9005
"52",0.061,5800,18633,0.9025
"53",0.062,5600,18174,0.9045
"54",0.063,5550,17733,0.905
"55",0.064,5550,17310,0.901
"56",0.065,5350,16903,0.9013
"57",0.066,5300,16511,0.9052
"58",0.067,5100,16134,0.9012
"59",0.068,5000,15771,0.9018
"60",0.069,4900,15421,0.8996
"61",0.07,4900,15084,0.8995
"62",0.071,4950,14758,0.9053
"63",0.072,4650,14444,0.9
"64",0.073,4650,14140,0.9
"65",0.074,4650,13847,0.9014
"66",0.075,4650,13564,0.9003
"67",0.076,4450,13289,0.9008
"68",0.077,4450,13024,0.9062
"69",0.078,4350,12768,0.9057
"70",0.079,4300,12519,0.9045
"71",0.08,4350,12278,0.9021
"72",0.081,4200,12045,0.9007
"73",0.082,4200,11819,0.9031
"74",0.083,4100,11599,0.8998
"75",0.084,4050,11387,0.9009
"76",0.085,3900,11180,0.9004
"77",0.086,3950,10979,0.9009
"78",0.087,3800,10785,0.9006
"79",0.088,3800,10595,0.9034
"80",0.089,3750,10412,0.9037
"81",0.09,3750,10233,0.9028
"82",0.091,3600,10059,0.8997
"83",0.092,3600,9890,0.9005
"84",0.093,3700,9725,0.9004
"85",0.094,3550,9565,0.8993
"86",0.095,3500,9409,0.9016
"87",0.096,3500,9258,0.9032
"88",0.097,3450,9110,0.9002
"89",0.098,3400,8966,0.9014
"90",0.099,3300,8825,0.9011
"91",0.1,3350,8688,0.906
"92",0.101,3350,8555,0.9001
"93",0.102,3250,8424,0.9048
"94",0.103,3250,8297,0.8998
"95",0.104,3250,8173,0.9027
"96",0.105,3250,8052,0.9009
"97",0.106,3200,7934,0.9001
"98",0.107,3050,7819,0.9038
"99",0.108,3050,7706,0.9028
"100",0.109,3050,7596,0.9047
"101",0.11,3100,7488,0.9017
"102",0.111,3000,7383,0.905
"103",0.112,2950,7280,0.9001
"104",0.113,2900,7180,0.8995
"105",0.114,2950,7081,0.9027
"106",0.115,2950,6985,0.9095
"107",0.116,2850,6891,0.9027
